temperature;humidity;time;date
21.1;43.3;20.26:57;26.11.2021
21.1;43.3;20.27:07;26.11.2021
21.1;43.4;20.27:17;26.11.2021
21.1;43.3;20.27:28;26.11.2021
21.1;43.3;20.27:38;26.11.2021
21.1;43.5;20.27:48;26.11.2021
21.1;43.5;20.27:58;26.11.2021
21.1;43.5;20.28:09;26.11.2021
21.1;43.5;20.28:19;26.11.2021
21.1;43.5;20.28:29;26.11.2021
21.1;43.5;20.28:39;26.11.2021
21.1;43.5;20.28:50;26.11.2021
21.1;43.5;20.29:00;26.11.2021
21.1;43.5;20.29:10;26.11.2021
21.1;43.5;20.29:20;26.11.2021
21.1;43.5;20.29:31;26.11.2021
21.1;43.5;20.29:41;26.11.2021
21.1;43.5;20.29:51;26.11.2021
21.1;43.6;20.30:02;26.11.2021
21.1;43.7;20.30:12;26.11.2021
21.1;43.7;20.30:22;26.11.2021
21.1;43.6;20.30:32;26.11.2021
21.1;43.6;20.30:43;26.11.2021
21.1;43.6;20.30:53;26.11.2021
21.1;43.6;20.31:03;26.11.2021
21.1;43.6;20.31:13;26.11.2021
21.1;43.6;20.31:24;26.11.2021
21.1;43.6;20.31:34;26.11.2021
21.1;43.6;20.31:44;26.11.2021
21.1;43.7;20.31:55;26.11.2021
21.1;43.7;20.32:05;26.11.2021
21.1;43.7;20.32:15;26.11.2021
21.1;43.7;20.32:25;26.11.2021
21.1;43.7;20.32:36;26.11.2021
21.1;43.7;20.32:46;26.11.2021
21.1;43.8;20.32:56;26.11.2021
21.1;43.8;20.33:06;26.11.2021
21.1;43.8;20.33:17;26.11.2021
24.0;99.9;20.33:27;26.11.2021
23.5;99.9;20.33:37;26.11.2021
23.3;99.9;20.33:47;26.11.2021
23.1;99.9;20.33:58;26.11.2021
22.9;99.9;20.34:08;26.11.2021
22.7;99.9;20.34:18;26.11.2021
22.6;99.9;20.34:28;26.11.2021
22.6;99.9;20.34:39;26.11.2021
22.5;74.2;20.34:49;26.11.2021
22.4;63.0;20.34:59;26.11.2021
22.3;56.2;20.35:10;26.11.2021
22.3;51.6;20.35:20;26.11.2021
22.2;49.2;20.35:30;26.11.2021
22.2;47.9;20.35:40;26.11.2021
22.1;47.1;20.35:51;26.11.2021
22.1;46.8;20.36:01;26.11.2021
22.1;46.4;20.36:11;26.11.2021
22.0;46.1;20.36:21;26.11.2021
22.0;45.9;20.36:32;26.11.2021
22.0;45.9;20.36:42;26.11.2021
21.9;45.7;20.36:52;26.11.2021
21.9;45.6;20.37:03;26.11.2021
21.8;45.4;20.37:13;26.11.2021
21.8;45.4;20.37:23;26.11.2021
21.8;45.4;20.37:33;26.11.2021
21.8;45.4;20.37:44;26.11.2021
21.7;45.3;20.37:54;26.11.2021
21.7;45.3;20.38:04;26.11.2021
21.7;45.3;20.38:14;26.11.2021
21.7;45.3;20.38:25;26.11.2021
21.6;45.2;20.38:35;26.11.2021
21.6;45.2;20.38:45;26.11.2021
21.6;45.2;20.38:55;26.11.2021
21.6;45.3;20.39:06;26.11.2021
21.6;45.3;20.39:16;26.11.2021
21.5;45.3;20.39:26;26.11.2021
21.6;45.4;20.41:46;26.11.2021
21.4;45.5;20.59:44;26.11.2021
21.2;46.3;20.59:55;26.11.2021
21.2;46.4;21.00:05;26.11.2021
21.2;46.3;21.00:15;26.11.2021
21.2;46.3;21.00:25;26.11.2021
21.2;46.3;21.00:36;26.11.2021
21.2;46.3;21.00:46;26.11.2021
21.2;46.3;21.00:56;26.11.2021
21.2;46.2;21.01:06;26.11.2021
21.2;46.3;21.01:17;26.11.2021
21.2;46.4;21.01:27;26.11.2021
21.2;46.3;21.01:37;26.11.2021
21.2;46.3;21.01:47;26.11.2021
21.2;46.2;21.01:58;26.11.2021
21.2;46.2;21.02:08;26.11.2021
21.2;46.2;21.02:18;26.11.2021
21.2;46.2;21.02:29;26.11.2021
21.2;46.2;21.02:39;26.11.2021
21.2;46.2;21.02:49;26.11.2021
21.2;46.3;21.02:59;26.11.2021
21.2;46.2;21.03:10;26.11.2021
21.2;46.2;21.03:20;26.11.2021
21.2;46.2;21.03:30;26.11.2021
21.2;46.2;21.03:40;26.11.2021
